

/Gem Systems GSM-19TW 9113462 v7.0 11 VI 2009 M t-ew3.v7                           
/ID 1 file 01survey.b   10 II 14
/datum  00000.00
/
/time nT sq 
095734.0  48549.66 99 
095736.0  48549.68 99 
095738.0  48550.30 99 
095740.0  48549.13 99 
095742.0  48550.67 99 
095744.0  48549.35 99 
095746.0  48548.73 99 
095748.0  48551.63 99 
095750.0  48548.79 99 
095752.0  48550.82 99 
095754.0  48549.81 99 
095756.0  48549.42 99 
095758.0  48550.01 99 
095800.0  48547.40 99 
095802.0  48549.12 99 
095804.0  48549.23 99 
095806.0  48546.88 99 
095808.0  48548.33 99 
095810.0  48549.72 99 
095812.0  48547.26 99 
095814.0  48550.62 99 
095816.0  48550.21 99 
095818.0  48549.51 99 
095820.0  48549.47 99 
095822.0  48550.38 99 
095824.0  48552.35 99 
095826.0  48549.73 99 
095828.0  48551.10 99 
095830.0  48551.50 99 
095832.0  48552.30 99 
095834.0  48549.67 99 
095836.0  48548.25 99 
095838.0  48549.15 99 
095840.0  48549.03 99 
095842.0  48552.56 99 
095844.0  48551.97 99 
095846.0  48548.48 99 
095848.0  48547.93 99 
095850.0  48549.71 99 
095852.0  48548.97 99 
095854.0  48550.72 99 
095856.0  48548.50 99 
095858.0  48550.56 99 
095900.0  48549.62 99 
095902.0  48552.75 99 
095904.0  48552.27 99 
095906.0  48549.26 99 
095908.0  48549.94 99 
095910.0  48546.60 99 
095912.0  48549.38 99 
095914.0  48544.28 99 
095916.0  48546.21 99 
095918.0  48549.82 99 
095920.0  48546.97 99 
095922.0  48544.77 99 
095924.0  48546.40 99 
095926.0  48547.84 99 
095928.0  48548.71 99 
095930.0  48549.80 99 
095932.0  48553.74 99 
095934.0  48552.16 99 
095936.0  48548.29 99 
095938.0  48549.87 99 
095940.0  48551.81 99 
095942.0  48548.62 99 
095944.0  48550.37 99 
095946.0  48547.48 99 
095948.0  48553.81 99 
095950.0  48551.61 99 
095952.0  48550.84 99 
095954.0  48550.53 99 
095956.0  48550.33 99 
095958.0  48549.34 99 
100000.0  48549.15 99 
100002.0  48549.50 99 
100004.0  48551.53 99 
100006.0  48548.56 99 
100008.0  48549.45 99 
100010.0  48548.45 99 
100012.0  48548.08 99 
100014.0  48547.37 99 
100016.0  48549.12 99 
100018.0  48551.32 99 
100020.0  48548.43 99 
100022.0  48546.68 99 
