
Append with new capture

001 survey.b  006289  24  XI  21 113404.0 00000000
002 survey.b  008731  25  XI  21 114751.1 0000F5AA


/Gem Systems GSM-19TW 9113462 v7.0 3 II 2017 M t-ew3.v7                           
/ID 1 file 02survey.b   25 XI 21
/datum  00000.00
/
/time nT sq 
114751.0  59638.08 94 
114752.0  59641.16 45 
114753.0  59656.98 54 
114754.0  58743.25 05 
114755.0  59740.54 25 
114756.0  58548.05 23 
114757.0  59612.92 34 
114758.0  58387.11 06 
114759.0  58919.08 04 
114800.0  58245.93 15 
114801.0  58500.13 25 
114802.0  57580.85 25 
114803.0  58464.35 25 
114804.0  57752.77 76 
114805.0  58640.26 65 
114806.0  57728.58 74 
114807.0  58482.14 94 
114808.0  57715.02 94 
114809.0  58509.08 14 
114810.0  57610.76 74 
114811.0  58649.42 25 
114812.0  57803.15 95 
114813.0  58342.15 15 
114814.0  57725.63 95 
114815.0  57914.26 24 
114816.0  00000.00 02 
114817.0  47760.07 03 
114818.0  00000.00 03 
114819.0  47734.74 24 
114820.0  46498.12 37 
114821.0  46501.74 99 
114822.0  46503.35 99 
114823.0  46502.18 99 
114824.0  46504.44 99 
114825.0  46410.66 99 
114826.0  44666.59 96 
114827.0  44816.64 95 
114828.0  43044.46 97 
114829.0  41509.33 15 
114830.0  37338.55 06 
114831.0  00000.00 06 
114832.0  32001.38 17 
114833.0  00000.00 07 
114834.0  27561.27 38 
114835.0  29836.17 49 
114836.0  26064.62 98 
114837.0  28219.22 99 
114838.0  25094.20 99 
114839.0  26999.41 99 
114840.0  24213.07 99 
114841.0  25837.33 99 
114842.0  23716.69 99 
114843.0  25709.71 69 
114844.0  00000.00 09 
114845.0  00000.00 09 
114846.0  00000.00 09 
114847.0  25022.41 39 
114848.0  00000.00 09 
114849.0  00000.00 09 
114850.0  24545.68 49 
114851.0  00000.00 09 
114852.0  00000.00 09 
114853.0  00000.00 09 
114854.0  24442.31 29 
114855.0  24014.12 79 
114856.0  00000.00 09 
114857.0  00000.00 09 
114858.0  00000.00 09 
114859.0  24277.67 39 
114900.0  00000.00 09 
114901.0  00000.00 09 
114902.0  24068.99 49 
114903.0  24809.06 49 
114904.0  00000.00 09 
114905.0  24887.58 29 
114906.0  00000.00 09 
114907.0  00000.00 09 
114908.0  00000.00 09 
114909.0  24910.90 59 
114910.0  00000.00 09 
